Gene,log2FC,pvalue,FDR
Slc39a11,-0.34993138,0.000300749,0.000495758
MGC95210,0.106770394,0.019811398,0.027958804
Cpsf4l,-0.95194926,0.003657447,0.005541144
Ttyh2,-1.193122699,7.00E-12,1.68E-11
Gprc5c,-0.979874554,6.37E-06,1.17E-05
Igsf7,-1.764329922,3.06E-22,1.01E-21
Cd300lf,2.968470151,2.31E-52,1.52E-51
Otop3,-2.64948513,3.14E-07,6.20E-07
Hid1,-2.195845397,4.04E-47,2.40E-46
Trim80,1.558650797,0.006341267,0.009383756
Armc7,0.214813949,0.000937625,0.001490926
Jpt1,0.493683798,4.25E-21,1.36E-20
Nup85,1.819439481,2.01E-246,1.18E-244
Recql5,0.889145598,5.77E-48,3.48E-47
Fbf1,-0.813590221,4.87E-49,3.00E-48
Ubald2,1.897784281,4.61E-236,2.54E-234
Dnah17,-0.308544024,0.01879639,0.026586971
Rbfox3,-1.91692457,5.72E-08,1.17E-07
Rptor,-0.741655363,4.03E-43,2.19E-42
Chmp6,-0.286480889,1.37E-07,2.76E-07
Actg1,0.709344878,3.80E-20,1.19E-19
Pycr1,-0.723902076,1.05E-09,2.31E-09
Ppp1r27,3.281487263,6.90E-07,1.34E-06
Sectm1b,-2.755807271,1.71E-24,6.00E-24
Sectm1a,0.926280743,7.45E-11,1.72E-10
Adamts2,-4.459640045,5.05E-159,1.39E-157
Ccl6,0.301752589,0.034665874,0.047611663
Mettl23,-0.422768582,8.06E-06,1.47E-05
St6galnac1,-3.403229597,2.84E-09,6.15E-09
Yars2,-0.325084176,3.62E-05,6.35E-05
Pkp2,-1.044945836,3.63E-06,6.77E-06
Ube2v2,0.389704018,1.65E-12,4.05E-12
Mzt2b,-0.264106849,4.52E-09,9.69E-09
Top3b,-0.19845516,0.000487722,0.00079205
Ppm1f,-0.891321348,3.26E-46,1.90E-45
RGD1308065,5.503736577,8.17E-85,9.17E-84
Ccdc116,-1.30978082,0.00129675,0.002038745
Ydjc,-0.40817768,0.019085211,0.026982886
Hic2,-0.709628006,7.83E-22,2.56E-21
Crkl,0.269983248,7.07E-05,0.000121844
Thap7,-0.511619938,4.95E-18,1.46E-17
LOC287947,3.251894219,0.000615207,0.000992166
Scarf2,-1.905107932,1.94E-44,1.09E-43
Dgcr8,0.994388698,3.31E-62,2.61E-61
Cdc45,4.548679945,0,0
Mrpl40,-0.519407738,2.30E-14,6.04E-14
Olr1569,3.070708384,0.000108473,0.000184599
Klhl6,3.511148487,4.43E-117,7.75E-116
Parl,0.495375461,3.46E-30,1.40E-29
Abcf3,0.364066917,6.37E-15,1.71E-14
Alg3,-0.732057392,2.42E-24,8.43E-24
Eif4g1,-0.907633412,1.20E-61,9.39E-61
Ephb3,-2.159268012,1.09E-22,3.65E-22
Vps8,-1.096740727,3.66E-80,3.86E-79
Kng1,2.509645586,2.30E-06,4.33E-06
Rfc4,3.46393989,0,0
Lpp,-2.359645643,4.04E-105,6.10E-104
P3h2,-1.055464798,6.60E-10,1.46E-09
Ccdc50,-2.17275344,3.84E-265,2.60E-263
Atp13a4,1.73691988,7.97E-07,1.54E-06
Tmem44,-1.836964765,9.52E-23,3.19E-22
Lsg1,-0.351490992,6.02E-09,1.28E-08
Fam43a,-0.76828184,4.60E-18,1.36E-17
Fbxo45,0.41999357,3.68E-21,1.18E-20
Tm4sf19,-1.662122747,4.49E-11,1.04E-10
Zdhhc19,4.073328238,3.04E-18,9.03E-18
Umps,0.761628701,1.46E-37,7.05E-37
Ccdc14,1.042159479,1.92E-39,9.62E-39
Mylk,-1.614135731,1.20E-18,3.62E-18
Kpna1,0.935716169,9.45E-56,6.61E-55
Mix23,0.132336327,0.029222547,0.040460515
Csta,-1.490480314,0.008407984,0.0122884
Stfa3,6.721911477,5.40E-41,2.80E-40
Hcls1,2.541560932,1.01E-113,1.68E-112
Polq,5.805677109,0,0
Stxbp5l,-0.993157605,0.034481484,0.047376009
Ndufb4,-0.669993544,7.59E-13,1.89E-12
Poglut1,-0.679225111,1.51E-28,5.84E-28
Tmem39a,-0.432308643,9.19E-22,3.00E-21
Arhgap31,-2.17890562,7.87E-56,5.51E-55
Zbtb20,-2.677754123,7.09E-110,1.13E-108
Naa50,0.573892822,6.62E-15,1.77E-14
Sidt1,1.584854848,1.46E-08,3.05E-08
Spice1,0.306925871,1.32E-05,2.39E-05
Tmprss7,2.719292017,5.63E-21,1.80E-20
Nectin3,-1.958407176,1.19E-23,4.09E-23
Retnlg,8.082833209,1.55E-174,4.93E-173
Mtx2,0.271638522,7.76E-09,1.65E-08
Hoxd3,-7.023886642,1.35E-97,1.82E-96
Hoxd4,-5.283850543,3.19E-147,7.82E-146
B3galt5,-1.144496949,8.16E-05,0.000139991
Nit2,-0.658476236,6.21E-27,2.32E-26
Tmem30c,-1.332902462,1.75E-07,3.50E-07
Cmss1,0.625896512,1.82E-16,5.11E-16
Gpr15,1.166613952,0.000729594,0.001170389
Cldnd1,-0.723980799,4.13E-26,1.51E-25
Crybg3,-1.676831409,7.36E-65,6.08E-64
Bace2,-3.616323938,5.10E-105,7.68E-104
Get1,-0.845206243,4.17E-27,1.57E-26
Psmg1,-0.127886904,0.009617145,0.013980327
Pigp,-0.715993984,6.34E-06,1.17E-05
Ripply3,1.304062713,2.09E-07,4.16E-07
Hlcs,-2.0128629,8.36E-76,8.29E-75
Chaf1b,3.652987019,1.13E-203,4.75E-202
Cryzl1,-0.451316818,3.55E-09,7.65E-09
Donson,0.325767041,4.08E-05,7.15E-05
Gart,0.699914561,1.04E-55,7.24E-55
Ifnar1,0.509813931,4.16E-19,1.27E-18
Cfap298,-0.683712157,5.07E-35,2.31E-34
Mrap,-2.562953075,7.21E-70,6.48E-69
Mis18a,6.471732868,0,0
Cct8,0.592467553,4.02E-46,2.34E-45
Usp16,0.266712466,5.74E-11,1.33E-10
Ltn1,0.143390555,0.026000488,0.036226555
N6amt1,-0.194605506,0.00534264,0.007960146
Rbm11,1.973507712,6.79E-10,1.51E-09
Gbe1,0.462657288,1.25E-09,2.75E-09
Cggbp1,0.698162132,1.33E-60,1.02E-59
Zfp654,0.464799568,7.56E-13,1.88E-12
Tssk1b,-0.994304625,0.004167009,0.006278101
Pex11g,-0.884761421,6.39E-19,1.93E-18
Mcoln1,-0.615102015,1.72E-17,5.01E-17
RGD1559710,1.739523877,1.12E-07,2.26E-07
RGD1562451,2.154972054,7.64E-81,8.12E-80
Rfc3,3.006354427,0,0
N4bp2l2,0.390187965,1.25E-23,4.27E-23
Hsph1,0.80287088,1.87E-36,8.78E-36
Uspl1,0.326142779,2.58E-11,6.06E-11
Katnal1,0.847493295,2.11E-24,7.36E-24
Slc46a3,0.778578191,3.59E-29,1.42E-28
Pomp,0.472177577,2.50E-19,7.66E-19
Trrap,-0.145372781,0.030704291,0.042416799
Rsph10b,-1.803318297,5.17E-15,1.39E-14
Pms2,0.448955727,3.19E-28,1.23E-27
Aimp2,0.663904385,7.30E-24,2.52E-23
LOC288481,1.346131694,0.035523995,0.04873175
Zfp12,-0.536065288,5.69E-17,1.63E-16
Rbak,-0.218229866,0.000540172,0.000874347
Wipi2,0.653479231,2.98E-26,1.10E-25
Slc29a4,-0.966889353,0.001425612,0.002234216
Snx8,0.248838709,0.008679276,0.012670501
Elfn1,-5.580850829,3.40E-40,1.73E-39
Ints1,0.573809862,1.01E-29,4.02E-29
Micall2,1.862411945,3.71E-83,4.08E-82
Eif3b,0.311300782,7.06E-13,1.76E-12
Dhrsx,0.309450841,4.98E-05,8.68E-05
Akap17a,0.607455387,4.09E-10,9.16E-10
Asmtl,-0.418087477,4.11E-14,1.07E-13
Gjc3,-0.695129887,0.0215694,0.030309654
Mcm7,2.968478143,0,0
Taf6,-0.101587442,0.003949712,0.005966213
Trappc14,1.135192221,1.95E-56,1.38E-55
Mospd3,1.214988053,2.08E-83,2.30E-82
Sap25,0.931390285,2.91E-17,8.42E-17
Tfr2,4.554767014,3.30E-55,2.28E-54
Pop7,1.414721108,1.64E-189,6.10E-188
Plod3,-1.739374654,6.28E-184,2.21E-182
Fis1,1.425336586,2.26E-69,2.01E-68
Ift22,-1.935969323,4.36E-41,2.27E-40
Alkbh4,1.370616773,2.20E-81,2.36E-80
Polr2j,0.271093525,1.43E-06,2.73E-06
Rasa4,-1.432625005,8.73E-43,4.71E-42
Tmem120a,-2.528483659,2.47E-120,4.51E-119
Ccl24,-1.673624453,1.74E-29,6.92E-29
Nsun5,-0.560231806,4.13E-26,1.51E-25
Trim50,-1.278761846,0.019846884,0.028007547
Eif4h,0.401109175,2.22E-38,1.09E-37
Ervfrd-1,2.682020108,3.24E-21,1.04E-20
Tmem270,-3.771761098,9.44E-29,3.68E-28
Gtf2ird2,-1.274275311,8.54E-64,6.94E-63
Galnt17,-2.049066859,6.30E-07,1.22E-06
Sbds,-0.606943272,3.05E-33,1.33E-32
Tmem248,-0.121738347,0.011729213,0.016911835
Tpst1,0.509805679,1.60E-10,3.65E-10
Cct6a,0.444479663,3.10E-27,1.17E-26
Zbed5,-1.394011706,3.29E-41,1.71E-40
Mmp17,-3.656390601,9.41E-46,5.43E-45
Dhx37,0.144398111,0.001107693,0.001751375
Gtf2h3,0.513758035,1.60E-27,6.09E-27
Mphosph9,1.971278878,6.26E-160,1.73E-158
Vps37b,1.189964256,2.77E-101,3.94E-100
Zcchc8,0.595122035,5.33E-28,2.05E-27
Atxn2,-1.381166748,3.09E-112,5.07E-111
Pheta1,-0.676062924,2.79E-09,6.03E-09
Cux2,-2.126215617,3.28E-11,7.68E-11
Vps29,-0.131759811,0.010053724,0.014589884
Arpc3,1.33047142,1.40E-75,1.38E-74
Rita1,-1.076857092,4.46E-19,1.35E-18
Tesc,3.463140376,4.89E-144,1.15E-142
Wsb2,-1.059405637,8.92E-18,2.62E-17
Rab35,0.086153414,0.03120834,0.043076915
Unc119b,-0.29443306,1.74E-08,3.64E-08
RGD1311899,-0.75697174,4.11E-20,1.28E-19
Gltp,1.36606881,2.37E-128,4.71E-127
Rnf10,2.570691237,1.71E-133,3.59E-132
Srrd,-0.344230922,3.46E-05,6.08E-05
Tpst2,-0.249393057,0.003341294,0.005079853
Pgam5,0.084157892,0.045692259,0.061806035
Chfr,0.87968572,4.43E-65,3.68E-64
Foxn4,2.986236424,0.000500315,0.00081152
Sgsm1,-1.461968604,3.19E-08,6.60E-08
RGD1306556,-2.597541583,3.58E-48,2.17E-47
Tmem132d,-2.687644234,0.012285762,0.017687575
Diablo,0.149591047,0.000866413,0.001382224
Mtm1,-0.978710544,2.63E-30,1.07E-29
Naca,0.75183107,9.56E-37,4.52E-36
Rbms2,-1.637175087,1.97E-77,2.00E-76
Spryd4,0.305159768,0.003680502,0.00557493
LOC288777,1.314430275,4.79E-07,9.36E-07
Pa2g4,1.220815568,1.81E-127,3.58E-126
Rab5b,-0.945224068,1.14E-110,1.84E-109
Bloc1s1,-0.701153191,1.33E-22,4.43E-22
Olr1058,-1.759243408,6.12E-10,1.36E-09
Olr1057,-1.891677377,2.34E-05,4.16E-05
Il27ra,1.562430478,2.15E-24,7.49E-24
Rfx1,0.827187921,6.86E-42,3.63E-41
Podnl1,2.194572623,1.66E-24,5.80E-24
Cc2d1a,-0.19305606,0.00012467,0.000211202
Nanos3,0.50367093,0.011493058,0.016585884
Mri1,-0.174692687,0.010328449,0.014967271
Trmt1,-0.269859106,1.87E-09,4.08E-09
Farsa,1.0197487,3.11E-94,4.01E-93
Get3,0.458910719,4.84E-30,1.95E-29
Trir,1.445283684,4.19E-178,1.37E-176
Dhps,0.598230902,1.50E-31,6.28E-31
Wdr83,1.129567039,1.81E-80,1.92E-79
Wdr83os,-0.090854274,0.02159859,0.030347788
Serpinb8,-0.802061853,2.93E-05,5.17E-05
LOC288978,-1.079721834,6.87E-33,2.97E-32
Insig2,-0.919641163,2.18E-11,5.13E-11
Slc35f5,-1.436233617,2.45E-58,1.79E-57
Gpr39,-4.638591007,3.38E-51,2.16E-50
Map3k19,1.477056171,0.012237842,0.017620301
Thsd7b,-4.198760798,7.17E-33,3.10E-32
Mapkapk2,0.892601513,9.13E-66,7.66E-65
Cdk18,-1.381729993,5.45E-16,1.51E-15
Pik3c2b,-0.50750883,6.87E-10,1.52E-09
Sox13,-1.683369401,1.79E-77,1.83E-76
Chit1,5.316373415,2.81E-182,9.73E-181
Tmem183a,1.024205778,1.48E-60,1.13E-59
Adipor1,2.141454839,3.33E-135,7.16E-134
Lhx9,-1.629958074,6.54E-12,1.57E-11
Zbtb41,-0.26859538,0.013307287,0.019096908
Aspm,5.566613033,0,0
Rgs18,4.39733744,8.91E-180,2.96E-178
Rgl1,-1.881164869,4.85E-56,3.41E-55
Colgalt2,-1.174882986,3.65E-11,8.52E-11
Tsen15,-0.687204456,1.61E-17,4.67E-17
Edem3,0.17005426,0.011945855,0.017217489
RGD1565977,-1.533928408,6.13E-05,0.000106152
Swt1,0.3222861,3.66E-09,7.88E-09
Ivns1abp,-0.739937941,2.01E-43,1.10E-42
Hmcn1,-3.2439101,1.19E-73,1.14E-72
Shcbp1l,-4.709154182,4.68E-42,2.48E-41
Prg4,4.468852869,1.23E-31,5.15E-31
Tdrd5,2.388881798,1.12E-15,3.09E-15
LOC289134,4.513474005,9.67E-05,0.000165144
Tp53i3,-2.337398727,0,0
Mrps14,0.218603838,0.002299229,0.003540125
Cacybp,1.01334431,2.36E-82,2.58E-81
Cenpl,3.621582718,0,0
Eef1aknmt,1.167374026,6.29E-106,9.56E-105
Kifap3,-0.285775471,1.23E-05,2.23E-05
LOC289172,5.714021629,9.18E-44,5.07E-43
Slc19a2,0.515411226,1.53E-06,2.91E-06
Dpt,-6.084516428,6.85E-120,1.24E-118
Gpr161,-2.284543055,6.65E-68,5.76E-67
Dcaf6,0.675211311,1.95E-12,4.77E-12
Creg1,3.363677724,6.50E-84,7.23E-83
Tmco1,-1.430708909,4.17E-119,7.44E-118
Mgst3,1.473884907,3.68E-42,1.96E-41
Lmx1a,-5.712781656,4.61E-69,4.08E-68
Fcgr2b,1.062295601,1.75E-10,3.97E-10
Sdhc,-1.188222194,1.59E-36,7.48E-36
Ndufs2,-1.026809515,1.80E-24,6.30E-24
Ppox,3.081430589,5.07E-246,2.97E-244
Nit1,-1.230707452,2.62E-86,3.01E-85
Vangl2,2.206749256,8.06E-16,2.22E-15
Ncstn,-0.646696346,6.88E-48,4.14E-47
Pex19,-2.120040979,4.58E-222,2.26E-220
Slamf9,0.730564673,5.07E-06,9.39E-06
Vsig8,-1.364880552,4.68E-06,8.68E-06
Mptx1,-0.858603905,0.003954315,0.005972861
RGD1562462,0.839579728,0.00424676,0.006394022
Olr1584,1.002987252,0.000254741,0.0004222
Olr1592,2.149141608,3.87E-05,6.78E-05
Spta1,11.76863808,0,0
Grem2,-4.875795073,2.24E-94,2.89E-93
Pld5,3.458866996,1.15E-17,3.37E-17
Adss,0.637957227,6.55E-54,4.41E-53
Cox20,-0.307246721,0.00134431,0.002110938
Gpr137b,-0.793050766,6.00E-27,2.24E-26
Tfb2m,-0.407833916,5.73E-10,1.27E-09
Acbd3,-0.165860171,1.36E-10,3.10E-10
Sde2,0.876691115,8.59E-78,8.79E-77
Lefty2,1.528550961,0.006621473,0.009778348
Tmem63a,0.470298185,2.30E-10,5.19E-10
RGD1564463,1.296856559,0.007431427,0.010923204
Nvl,0.437224143,8.27E-19,2.50E-18
Cnih4,-1.230206212,9.63E-103,1.41E-101
Susd4,-1.241881621,5.28E-08,1.08E-07
Disp1,-2.000560721,7.13E-48,4.29E-47
Rps6kc1,0.505823688,5.16E-26,1.88E-25
Hhat,0.687317467,1.55E-07,3.10E-07
Rab3gap2,-0.346371267,8.13E-08,1.65E-07
Eprs,-0.68122856,7.32E-41,3.78E-40
Slc30a10,5.918186612,2.16E-33,9.47E-33
Lyplal1,-2.111127771,8.00E-115,1.35E-113
Gpatch2,-0.81542541,4.33E-89,5.15E-88
Ush2a,-0.764603269,0.008203443,0.012003693
Tatdn3,-0.966681755,4.30E-30,1.73E-29
Nenf,-1.002759732,1.02E-29,4.08E-29
Ints7,0.998666326,1.68E-50,1.07E-49
G0s2,-3.368597088,1.01E-128,2.02E-127
Plxna2,-3.602233813,8.04E-124,1.52E-122
Cr2,5.790735609,1.78E-110,2.87E-109
Kif21b,1.460561028,3.42E-24,1.19E-23
Camsap2,0.179393361,0.001985135,0.003073489
Ddx59,0.827072092,7.54E-57,5.37E-56
Atp6v1g3,6.661813972,1.02E-58,7.52E-58
Nuak2,1.56411348,9.37E-44,5.17E-43
Xpr1,-0.153599345,0.007327412,0.010776741
Glmn,-1.073041764,1.42E-87,1.66E-86
Lrrc8c,-0.55951494,4.12E-08,8.48E-08
Abcg3l1,-1.573986924,8.87E-102,1.27E-100
Hsd17b11,-1.01950856,1.73E-30,7.04E-30
Klhl8,-0.644710709,1.04E-09,2.29E-09
Slc10a6,-2.35983499,2.74E-50,1.73E-49
Abraxas1,0.30131024,4.29E-05,7.50E-05
Mrps18c,0.310554627,2.34E-05,4.17E-05
Naa11,-1.637668939,2.80E-08,5.81E-08
Fras1,-3.366605517,1.08E-18,3.24E-18
Mrpl1,0.272613713,3.38E-06,6.31E-06
Ccni,1.640531151,3.82E-85,4.31E-84
Ccdc158,-1.159774769,2.76E-11,6.48E-11
Sdad1,0.34440779,5.41E-06,1.00E-05
Rchy1,0.822344515,1.64E-43,8.98E-43
Epgn,-1.617688253,0.04882829,0.065855306
Ankrd17,-0.42872459,4.55E-13,1.14E-12
Enam,1.925455728,0.000229636,0.000381789
Prr27,3.752131809,0.003195126,0.004863377
Tmprss11g,-3.021421508,0.000211991,0.000353386
Igfbp7,-2.568362311,3.64E-113,6.03E-112
Polr2b,0.2621554,6.23E-07,1.21E-06
Noa1,-0.531858597,6.60E-22,2.16E-21
Cracd,5.354393061,0,0
Fip1l1,0.385925847,1.56E-29,6.22E-29
Usp46,2.094137172,3.12E-163,8.89E-162
Lrrc66,-1.878984085,4.03E-17,1.16E-16
Ociad1,-0.38001182,3.76E-16,1.05E-15
Nipal1,0.662775104,0.001382855,0.002169852
Nfxl1,0.193274188,0.002310552,0.003556471
Corin,-5.006442951,1.00E-56,7.10E-56
Commd8,0.394591683,2.68E-21,8.61E-21
Gnpda2,-0.653408802,8.94E-23,3.00E-22
Atp8a1,1.790802312,2.53E-65,2.11E-64
Ube2k,0.446489711,5.53E-39,2.74E-38
Klb,-3.556010835,8.12E-67,6.92E-66
Nwd2,-4.218424401,1.97E-31,8.20E-31
Rell1,0.16407027,0.002756444,0.004220841
Tbc1d19,-1.314691502,5.29E-35,2.40E-34
Ldb2,-0.963256973,1.30E-08,2.73E-08
Lap3,-1.679358763,2.91E-122,5.43E-121
Dhx15,0.625816807,1.49E-48,9.07E-48
Lyar,1.135559826,3.96E-80,4.18E-79
Evc2,0.635740123,8.89E-08,1.80E-07
Evc,-4.188487532,2.78E-91,3.41E-90
Nop14,-0.226025941,2.31E-07,4.58E-07
Nat8l,-3.818783016,8.94E-92,1.11E-90
Pla2g3,-2.169513902,4.14E-05,7.24E-05
Smtn,-0.860014363,7.69E-10,1.70E-09
Morc2,-0.517195815,9.70E-28,3.70E-27
Pes1,0.462188077,3.81E-32,1.62E-31
Mtfp1,1.876268633,3.07E-62,2.42E-61
Osm,3.424262266,7.00E-115,1.19E-113
Ewsr1,0.758460362,1.76E-73,1.68E-72
Xbp1,-0.92441782,5.50E-35,2.50E-34
Polm,0.883294753,1.68E-15,4.58E-15
Pold2,0.82482831,9.53E-48,5.73E-47
Myl7,-2.928968627,4.31E-11,1.00E-10
Fignl1,6.235918728,0,0
Spata48,3.321202191,4.42E-46,2.56E-45
Ddx56,0.475448214,1.84E-28,7.13E-28
Zmiz2,-0.400080048,5.84E-07,1.14E-06
Myo1g,1.874334995,8.89E-55,6.08E-54
Nacad,-2.303119065,4.99E-18,1.47E-17
Pkd1l1,1.271186561,2.74E-06,5.14E-06
Abca13,8.383844477,1.48E-149,3.70E-148
Upp1,-0.331104819,0.000324493,0.000533797
C1d,0.380696007,1.14E-19,3.53E-19
Actr2,0.988164342,1.18E-30,4.84E-30
Cep68,-0.68792412,1.14E-41,6.03E-41
Ugp2,-0.305973388,0.018065727,0.025605915
Commd1,0.245116381,3.37E-07,6.64E-07
Fam161a,-1.505292229,1.84E-14,4.85E-14
Ccdc85a,-1.182662296,1.75E-23,5.98E-23
Cfap36,0.458318981,1.41E-22,4.70E-22
Clhc1,-1.871970706,9.94E-19,3.00E-18
Erlec1,-0.854806255,9.13E-45,5.15E-44
Pde6b,2.091319084,8.55E-07,1.65E-06
Dr1,0.619800368,1.46E-99,2.04E-98
Tmed5,-1.430803231,4.80E-50,3.01E-49
Fam149b1,-0.876261237,3.89E-61,3.02E-60
Mss51,1.108545563,8.01E-08,1.63E-07
Psmd6,0.245857418,2.88E-07,5.69E-07
RGD1306063,-0.819940878,2.17E-34,9.74E-34
Oxsm,-0.578186023,7.21E-28,2.76E-27
Fam3d,-4.335721082,5.77E-39,2.86E-38
Pdhb,-0.313924817,8.98E-05,0.000153759
LOC289953,-1.786199089,5.54E-05,9.61E-05
Psmc6,0.371541962,4.73E-18,1.40E-17
Fermt2,-2.540131914,7.06E-80,7.42E-79
Cdkn3,6.392174664,0,0
Cnih1,-0.842596006,7.69E-43,4.16E-42
Dlgap5,3.389346074,2.01E-280,1.49E-278
Parp2,0.690249652,1.11E-44,6.23E-44
Osgep,0.581529503,9.29E-20,2.88E-19
Pnp,0.843925593,1.86E-35,8.54E-35
Eddm3b,-3.526203102,3.40E-26,1.25E-25
Hnrnpc,1.019602103,1.05E-130,2.15E-129
Efs,-2.028415067,1.52E-39,7.60E-39
Cmtm5,-0.95691411,0.013207013,0.018955767
Fitm1,3.863384619,2.96E-10,6.68E-10
Emc9,-0.425729595,0.001021254,0.001619553
Rec8,3.338373976,1.75E-219,8.48E-218
Ipo4,-0.703378484,2.88E-22,9.54E-22
Tssk4,0.834362482,0.000420966,0.000686919
Tinf2,0.529891037,1.75E-19,5.39E-19
Dhrs1,-0.943676147,1.20E-60,9.20E-60
Nop9,0.713938128,4.78E-47,2.83E-46
Mcpt3,5.78842065,7.43E-38,3.61E-37
Ctsg,14.64582974,0,0
Mphosph8,-0.285660666,8.55E-07,1.65E-06
Xpo4,0.732659287,1.29E-57,9.34E-57
Sap18,0.833078868,8.60E-102,1.24E-100
Cab39l,0.152735405,0.003979759,0.006009145
Tnfrsf19,2.109893705,4.82E-15,1.30E-14
Spryd7,-0.60459013,1.13E-05,2.05E-05
Tdh,-1.060900048,0.000103055,0.000175601
Sox7,-2.657198513,3.70E-35,1.68E-34
Ints9,0.715283431,1.01E-39,5.11E-39
Nuggc,3.882597288,1.25E-39,6.28E-39
Pbk,5.750505004,5.87E-249,3.54E-247
Synb,0.945347788,0.004933361,0.007378399
Loxl2,-4.99759444,3.00E-266,2.05E-264
Pdlim2,-0.496347152,2.27E-08,4.72E-08
Phyhip,3.216965352,1.65E-17,4.80E-17
Dok2,0.326860837,0.002135219,0.003296886
Rcbtb2,-0.703665583,1.19E-32,5.09E-32
Itm2b,-0.533274721,1.53E-25,5.50E-25
Nudt15,-0.821665506,2.38E-14,6.25E-14
Dnajc15,-1.048953033,9.61E-25,3.39E-24
Vwa8,-0.550659846,7.35E-14,1.90E-13
Diaph3,5.769654006,0,0
Esd,0.366489993,3.98E-09,8.55E-09
Rubcnl,0.77520143,3.53E-11,8.25E-11
Sugt1,0.295388057,4.54E-11,1.06E-10
Olfm4,7.269403911,3.36E-41,1.75E-40
RGD1306441,5.529966421,3.78E-30,1.53E-29
Mycbp2,-1.78497461,5.08E-118,8.97E-117
Slitrk6,-1.955089407,2.27E-10,5.15E-10
Cldn10,1.959543428,1.43E-11,3.40E-11
Ggact,0.74753769,4.05E-11,9.43E-11
Tmtc4,-0.478310047,7.97E-06,1.46E-05
Thoc3,1.333583552,2.05E-181,7.00E-180
Anxa11,0.360468347,1.80E-10,4.10E-10
Tmem254,-1.821635967,3.68E-83,4.06E-82
Slmap,-0.188920156,0.012359475,0.017790235
Appl1,-1.505617692,3.85E-58,2.81E-57
Arhgef3,0.358807645,9.92E-05,0.000169287
Selenok,0.291313736,0.003722828,0.005635869
Chdh,1.890438074,2.10E-06,3.97E-06
Rft1,-0.536757396,2.20E-21,7.10E-21
Gnl3,0.394853805,1.73E-17,5.02E-17
Nt5dc2,1.261509415,1.20E-58,8.82E-58
Tnnc1,3.821176498,6.61E-62,5.19E-61
Sema3g,-2.344294397,2.09E-60,1.60E-59
Mettl6,0.276827196,3.91E-08,8.05E-08
Ogdhl,-0.718385174,0.038729454,0.05288342
Wapl,1.213804153,1.31E-121,2.43E-120
LOC290595,3.448468317,5.68E-34,2.52E-33
Ghitm,-0.260085199,3.14E-05,5.54E-05
Sh2d4b,-0.45849403,0.001924794,0.002985222
RGD1311847,-0.937361161,6.68E-35,3.03E-34
Cyp4f18,4.430518269,1.75E-131,3.63E-130
Haus8,2.474102035,5.75E-155,1.51E-153
Ocel1,0.211645389,0.000213691,0.000356159
Ushbp1,-1.844684799,1.38E-31,5.78E-31
Babam1,0.546534454,2.05E-43,1.12E-42
Mrpl34,0.140284959,0.032423284,0.044685103
Gtpbp3,-0.813468678,1.04E-18,3.12E-18
Mvb12a,-1.019016807,1.72E-117,3.01E-116
Pgls,0.486876446,4.85E-10,1.08E-09
Colgalt1,-0.549546245,3.91E-22,1.29E-21
B3gnt3,-1.405323897,2.09E-05,3.73E-05
Fcho1,4.330413713,0,0
Map1s,0.153121923,0.003330006,0.005063731
Rpl18a,1.403200565,3.68E-134,7.80E-133
Ccdc124,0.305708951,5.28E-06,9.78E-06
Ifi30,0.2607772,0.012081342,0.017400896
Mpv17l2,0.100421742,0.043497179,0.058985174
Pde4c,-2.394021096,1.50E-24,5.24E-24
Lsm4,1.716177936,7.86E-201,3.23E-199
Pgpep1,-0.971214047,4.87E-25,1.73E-24
Isyna1,-1.023648619,9.41E-28,3.60E-27
Fkbp8,-0.092655367,0.029324147,0.040589789
Crlf1,-3.824811077,4.25E-34,1.89E-33
Klhl26,-2.147519279,3.37E-74,3.25E-73
Ddx49,-0.142076543,0.004227232,0.006365592
Mau2,0.316663818,4.67E-09,9.98E-09
Gatad2a,0.503496605,6.78E-50,4.24E-49
Tssk6,2.741858096,4.35E-86,4.98E-85
Atp13a1,0.607870807,1.28E-21,4.14E-21
Ints10,0.570642823,7.11E-42,3.76E-41
Nat3,-2.600711847,3.40E-31,1.41E-30
Tma16,0.231679567,0.004876947,0.007297906
Klhl2,-0.46981376,4.35E-12,1.05E-11
Hpf1,1.860635729,9.68E-236,5.31E-234
Neil3,3.730735506,3.10E-41,1.61E-40
Dctd,0.718055951,2.30E-14,6.05E-14
Ing2,0.548637442,5.48E-22,1.80E-21
Trappc11,-0.362136702,4.99E-33,2.17E-32
Irf2,0.36326239,5.04E-12,1.22E-11
Ccdc110,-1.37548344,0.007833883,0.011489643
Pdgfrl,-1.062069677,1.01E-15,2.77E-15
Vps37a,-0.108986061,0.023863734,0.033383049
Tusc3,-0.3682914,3.49E-05,6.13E-05
Cldn23,-2.282362023,3.59E-10,8.05E-10
Tnks,-0.860980644,1.01E-60,7.74E-60
Saraf,-0.886609739,3.46E-28,1.33E-27
Dctn6,0.515241002,4.36E-24,1.51E-23
Ubxn8,-1.528792242,2.77E-146,6.73E-145
Tex15,-1.775873208,0.005262365,0.00785003
Wrn,0.865014359,2.82E-41,1.47E-40
Tti2,0.457373734,5.84E-21,1.86E-20
Erlin2,-1.400378585,9.38E-154,2.44E-152
Ash2l,0.297155369,2.35E-19,7.20E-19
Nsd3,0.709449134,7.85E-45,4.43E-44
Tm2d2,-0.574607687,2.61E-11,6.13E-11
Adam9,-1.769617264,5.99E-86,6.85E-85
